,Plant ID,Botanical Name,Common Name,Plant Type,Water Needs,min_water_consumption,max_water_consumption,Climate Zones,Light Needs,Soil Type,Maintenance,Flower colour,Foliage Colour,Perfume,Aromatic,Edible,Bore water Tolerance,Frost Tolerance,Image Location
0,2.0,Abelia chinensis,Chinese Abelia,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Medium,White,Mid green,Yes,Unknown,Unknown,Unknown,Unknown,images/2_abelia_chinensis.jpg
1,3.0,Abelia floribunda,Mexican Abelia,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Pink,Mid green,Yes,Unknown,Unknown,Unknown,Unknown,
2,4.0,Abelia x grandiflora,Abelia,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Medium,White,Mid green,Yes,Unknown,Unknown,Unknown,Medium,images/4_abelia_x_grandiflora.jpg
3,5.0,Abelia x grandiflora 'Francis Mason',Golden Abelia,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Medium,White,Yellow and green,Yes,Unknown,Unknown,Unknown,Medium,images/5_abelia_frances_mason.jpg
4,6.0,Abelia x grandiflora 'Goldsport',Golden Abelia,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Medium,White,Yellow and green,Yes,Unknown,Unknown,Unknown,Medium,
5,7.0,Abelmoschus esculentus,Okra,"Annual,Vegetable",2000 to 2500mm,2000.0,2500.0,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Unknown,Unknown,Yes,Unknown,No,images/7_abelmoschus_esculentus.jpg
6,8.0,Abelmoschus manihot,Abika,Vegetable,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Unknown,Unknown,Yes,Unknown,Unknown,images/8_abelmoschus_manihot.jpg
7,9.0,Abelmoschus manihot 'Red Vein Palm Leaf',Palm Leaf Abika,Vegetable,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical",Sun,Loam,High,Yellow,Dark green,Unknown,Unknown,Yes,Unknown,Unknown,
8,10.0,Abelmoschus moschatus subsp. Tuberosus,Musk Mallow,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Medium,Red,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,images/10_abelmoschus_moschatus_tuberosus.jpg
9,11.0,Abelmoschus rugosus 'Mischief',Rose Musk Mallow,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Medium,Red,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,images/11_abelmoschus_rugosus_mischeif.jpg
